TimeStamp,CPU_Freq,Battery_temp,GPU_Load
12:30:37,633.6,35.6,2.13
12:30:40,633.6,35.6,2.1
12:30:43,633.6,35.6,2
12:30:46,633.6,35.6,2
12:30:49,633.6,35.6,2.04
12:30:51,633.6,35.6,2.09
12:30:54,633.6,35.6,2.03
12:30:57,633.6,35.6,2.04
12:30:59,633.6,35.6,1.96
12:31:01,633.6,35.6,2.03
12:31:04,633.6,35.6,2.29
12:31:06,633.6,35.6,2.01
12:31:09,633.6,35.6,2.04
12:31:11,633.6,35.6,2.07
12:31:14,633.6,35.6,2.03
12:31:17,633.6,35.6,2.02
12:31:19,633.6,35.6,2.03
12:31:22,633.6,35.6,2.02
12:31:24,633.6,35.6,2.11
12:31:27,633.6,35.6,1.99
12:31:29,633.6,35.6,1.99
12:31:32,633.6,35.6,2.02
12:31:34,633.6,35.6,2.08
12:31:36,633.6,35.6,2.11
12:31:39,633.6,35.6,2.01
12:31:42,633.6,35.6,2.04
12:31:44,633.6,35.6,1.99
12:31:47,633.6,35.6,2.04
12:31:49,633.6,35.6,1.84
12:31:52,633.6,35.6,2
12:31:54,633.6,34.9,2
12:31:57,633.6,34.9,2.11
12:31:59,633.6,34.9,2
12:32:02,633.6,34.9,2.02
12:32:04,633.6,34.9,2.41
12:32:07,633.6,34.9,2.02
12:32:10,633.6,34.9,2.03
12:32:12,633.6,34.9,2.04
12:32:15,633.6,34.9,2.02
12:32:17,633.6,34.9,2.05
12:32:20,633.6,34.9,2.08
12:32:23,633.6,34.9,1.99
12:32:25,633.6,34.9,2.02
12:32:28,633.6,34.9,2.09
12:32:30,633.6,34.9,2.01
12:32:33,633.6,34.9,2.01
12:32:35,633.6,34.9,2.04
12:32:38,633.6,34.9,2.02
12:32:40,633.6,34.9,2.13
12:32:43,633.6,34.9,1.92
12:32:46,633.6,34.9,1.97
12:32:48,633.6,34.9,2.12
12:32:51,633.6,34.9,2.03
12:32:54,633.6,34.9,2.02
12:32:56,633.6,34.9,2.1
12:32:59,633.6,34.9,2
12:33:01,633.6,34.9,2
12:33:04,633.6,34.9,2.28
12:33:07,633.6,34.9,1.99
12:33:09,633.6,34.9,2.02
12:33:12,633.6,34.9,2.02
12:33:14,633.6,34.9,2.02
12:33:17,633.6,34.9,2.05
12:33:20,633.6,34.9,2.05
12:33:22,633.6,34.9,2.05
12:33:25,633.6,34.9,1.95
12:33:28,633.6,34.9,2.02
12:33:30,633.6,34.9,2.03
12:33:33,633.6,34.9,2.09
12:33:35,633.6,34.9,2.02
12:33:38,633.6,34.9,2.03
12:33:40,633.6,34.9,2.04
12:33:43,633.6,34.9,2.09
12:33:46,633.6,34.9,2.03
12:33:48,633.6,34.9,2.08
12:33:50,633.6,34.9,2.03
12:33:53,633.6,34.9,2.05
12:33:55,633.6,34.9,2.04
12:33:58,633.6,33.9,2.03
12:34:00,633.6,33.9,2.14
12:34:03,633.6,33.9,1.96
12:34:05,633.6,33.9,2.04
12:34:08,633.6,33.9,1.98
12:34:10,633.6,33.9,2.01
12:34:13,633.6,33.9,2.03
12:34:15,633.6,33.9,2.04
12:34:18,633.6,33.9,1.99
12:34:20,633.6,33.9,2.14
12:34:23,633.6,33.9,2.1
12:34:26,633.6,33.9,2.04
12:34:28,633.6,33.9,2.14
12:34:31,633.6,33.9,2.03
9:05:36,633.6,41.2,11.97
9:05:42,633.6,41.2,0
9:05:45,633.6,41.2,0
9:05:47,633.6,41.2,0
9:05:49,633.6,40.9,0
9:05:52,633.6,40.9,0
9:05:54,633.6,40.9,0
9:05:56,633.6,40.9,0
9:05:59,633.6,40.9,0
9:06:01,633.6,40.9,0
9:06:03,633.6,40.9,0
9:06:06,633.6,39.9,0
9:06:08,633.6,39.8,0
9:06:10,633.6,39.5,0
9:06:13,633.6,39.5,0
9:06:15,633.6,39.5,0
9:06:17,633.6,39.5,0
9:06:20,633.6,38.9,0
9:06:22,633.6,38.9,0
9:06:24,633.6,38.9,0
9:06:27,633.6,38.9,0
9:06:29,633.6,38.9,0
9:06:31,633.6,38.9,0
9:06:34,633.6,37.9,0
9:06:36,633.6,37.9,0
9:06:38,633.6,37.9,0
9:06:41,633.6,37.9,0
9:06:43,633.6,37.9,0
